------------------------------------------------------------
Client connecting to 192.168.0.103, TCP port 5001
TCP window size: 85.0 KByte (default)
------------------------------------------------------------
[  1] local 192.168.0.105 port 47240 connected with 192.168.0.103 port 5001
[ ID] Interval       Transfer     Bandwidth
[  1] 4680.0000-4740.0000 sec   191 MBytes  26.7 Mbits/sec
[  1] 4740.0000-4800.0000 sec  83.4 MBytes  11.7 Mbits/sec
[  1] 4800.0000-4860.0000 sec   121 KBytes  16.5 Kbits/sec
[  1] 4860.0000-4920.0000 sec  69.2 MBytes  9.68 Mbits/sec
[  1] 4920.0000-4980.0000 sec   184 MBytes  25.7 Mbits/sec
[  1] 4980.0000-5040.0000 sec   162 MBytes  22.6 Mbits/sec
[  1] 5040.0000-5100.0000 sec   194 MBytes  27.1 Mbits/sec
[  1] 5100.0000-5160.0000 sec   192 MBytes  26.8 Mbits/sec
[  1] 5160.0000-5220.0000 sec   194 MBytes  27.1 Mbits/sec
[  1] 5220.0000-5280.0000 sec   194 MBytes  27.1 Mbits/sec
[  1] 5280.0000-5340.0000 sec   190 MBytes  26.6 Mbits/sec
[  1] 5340.0000-5400.0000 sec   188 MBytes  26.3 Mbits/sec
[  1] 5400.0000-5460.0000 sec   188 MBytes  26.3 Mbits/sec
[  1] 5460.0000-5520.0000 sec   196 MBytes  27.5 Mbits/sec
[  1] 5520.0000-5580.0000 sec   194 MBytes  27.1 Mbits/sec
[  1] 5580.0000-5640.0000 sec   194 MBytes  27.1 Mbits/sec
[  1] 5640.0000-5700.0000 sec   198 MBytes  27.7 Mbits/sec
[  1] 5700.0000-5760.0000 sec   190 MBytes  26.5 Mbits/sec
[  1] 5760.0000-5820.0000 sec   190 MBytes  26.5 Mbits/sec
[  1] 5820.0000-5880.0000 sec   187 MBytes  26.1 Mbits/sec
[  1] 5880.0000-5940.0000 sec   194 MBytes  27.1 Mbits/sec
[  1] 5940.0000-6000.0000 sec   188 MBytes  26.4 Mbits/sec
[  1] 6000.0000-6060.0000 sec   194 MBytes  27.2 Mbits/sec
[  1] 6060.0000-6120.0000 sec   201 MBytes  28.1 Mbits/sec
[  1] 6120.0000-6180.0000 sec   198 MBytes  27.7 Mbits/sec
[  1] 6180.0000-6240.0000 sec   188 MBytes  26.4 Mbits/sec
[  1] 6240.0000-6300.0000 sec   195 MBytes  27.2 Mbits/sec
[  1] 6300.0000-6360.0000 sec   198 MBytes  27.7 Mbits/sec
[  1] 6360.0000-6420.0000 sec   192 MBytes  26.9 Mbits/sec
[  1] 6420.0000-6480.0000 sec   192 MBytes  26.9 Mbits/sec
[  1] 6480.0000-6540.0000 sec   206 MBytes  28.8 Mbits/sec
[  1] 6540.0000-6600.0000 sec  82.6 MBytes  11.6 Mbits/sec
[  1] 6600.0000-6660.0000 sec  56.3 KBytes  7.69 Kbits/sec
[  1] 6660.0000-6720.0000 sec  78.1 MBytes  10.9 Mbits/sec
[  1] 6720.0000-6780.0000 sec  66.5 MBytes  9.30 Mbits/sec
[  1] 6780.0000-6840.0000 sec   114 MBytes  15.9 Mbits/sec
[  1] 6840.0000-6900.0000 sec  41.5 MBytes  5.80 Mbits/sec
[  1] 6900.0000-6960.0000 sec  93.5 MBytes  13.1 Mbits/sec
[  1] 6960.0000-7020.0000 sec  49.8 MBytes  6.96 Mbits/sec
[  1] 7020.0000-7080.0000 sec  55.5 MBytes  7.76 Mbits/sec
[  1] 7080.0000-7140.0000 sec  89.4 MBytes  12.5 Mbits/sec
[  1] 7140.0000-7200.0000 sec   107 MBytes  14.9 Mbits/sec
[  1] 0.0000-7202.0957 sec  15.2 GBytes  17.9 Mbits/sec
