------------------------------------------------------------
Client connecting to 192.168.0.105, UDP port 5001
Sending 1000 byte datagrams, IPG target: 2.48 us (kalman adjust)
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  1] local 192.168.0.105 port 56286 connected with 192.168.0.105 port 5001
[ ID] Interval       Transfer     Bandwidth
[  1] 40.0000-41.0000 sec   386 MBytes  3.24 Gbits/sec
[  1] 41.0000-42.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 42.0000-43.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 43.0000-44.0000 sec   383 MBytes  3.21 Gbits/sec
[  1] 44.0000-45.0000 sec   383 MBytes  3.22 Gbits/sec
[  1] 45.0000-46.0000 sec   386 MBytes  3.24 Gbits/sec
[  1] 46.0000-47.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 47.0000-48.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 48.0000-49.0000 sec   380 MBytes  3.19 Gbits/sec
[  1] 49.0000-50.0000 sec   388 MBytes  3.25 Gbits/sec
[  1] 50.0000-51.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 51.0000-52.0000 sec   381 MBytes  3.19 Gbits/sec
[  1] 52.0000-53.0000 sec   381 MBytes  3.20 Gbits/sec
[  1] 53.0000-54.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 54.0000-55.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 55.0000-56.0000 sec   391 MBytes  3.28 Gbits/sec
[  1] 56.0000-57.0000 sec   378 MBytes  3.17 Gbits/sec
[  1] 57.0000-58.0000 sec   388 MBytes  3.25 Gbits/sec
[  1] 58.0000-59.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 59.0000-60.0000 sec   380 MBytes  3.19 Gbits/sec
[  1] 60.0000-61.0000 sec   390 MBytes  3.27 Gbits/sec
[  1] 61.0000-62.0000 sec   382 MBytes  3.20 Gbits/sec
[  1] 62.0000-63.0000 sec   386 MBytes  3.24 Gbits/sec
[  1] 63.0000-64.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 64.0000-65.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 65.0000-66.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 66.0000-67.0000 sec   364 MBytes  3.05 Gbits/sec
[  1] 67.0000-68.0000 sec   387 MBytes  3.24 Gbits/sec
[  1] 68.0000-69.0000 sec   390 MBytes  3.27 Gbits/sec
[  1] 69.0000-70.0000 sec   391 MBytes  3.28 Gbits/sec
[  1] 70.0000-71.0000 sec   389 MBytes  3.26 Gbits/sec
[  1] 71.0000-72.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 72.0000-73.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 73.0000-74.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 74.0000-75.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 75.0000-76.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 76.0000-77.0000 sec   383 MBytes  3.22 Gbits/sec
[  1] 77.0000-78.0000 sec   385 MBytes  3.23 Gbits/sec
